Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
2013-02-06,01:33:37,-10.975,165.209,Earthquake,10.0,2.4,116.0,5.6,MB,,63.0,28.0,,,0.94,USC000F1TB,US,US,US,Reviewed
2013-02-06,01:36:07,-11.809,165.301,Earthquake,10.0,,31.0,5.5,MB,,10.0,112.5,,,0.99,USP000JZ12,US,US,US,Reviewed
2013-02-06,01:48:42,-11.635,166.015,Earthquake,10.0,,271.0,5.5,MB,,190.0,28.9,,,1.04,USC000F1TM,US,US,US,Reviewed
2013-02-06,01:54:15,-10.499,165.588,Earthquake,8.8,5.5,445.0,7.0,MWW,,,17.5,,,1.22,USC000F1TS,US,US,US,Reviewed
2013-02-06,01:57:26,-11.483,165.51,Earthquake,10.0,,31.0,5.6,MB,,12.0,110.4,,,1.18,USP000JZ16,US,US,US,Reviewed
2013-02-06,01:59:34,-11.112,165.385,Earthquake,10.0,,58.0,5.5,MB,,18.0,49.6,,,0.96,USP000JZ17,US,US,US,Reviewed
2013-02-06,02:30:44,-10.802,165.095,Earthquake,10.0,,298.0,5.6,MB,,218.0,27.9,,,0.66,USC000F1VD,US,US,US,Reviewed
2013-02-06,02:58:20,-10.649,165.058,Earthquake,10.0,,250.0,5.5,MB,,177.0,25.6,,,0.63,US2013LHD1,US,US,US,Reviewed
2013-02-06,03:01:01,-11.05,165.08,Earthquake,12.5,17.7,208.0,5.6,MB,,156.0,43.6,,,1.09,USC000F1XK,US,US,US,Reviewed
2013-02-06,03:49:45,-10.898,165.504,Earthquake,10.0,,365.0,5.5,MB,,275.0,28.6,,,0.52,USC000F1XV,US,US,US,Reviewed
2013-02-06,06:35:19,-10.791,164.551,Earthquake,10.0,,364.0,6.1,MWC,,,32.1,,,1.04,USC000F23Y,US,US,GCMT,Reviewed
2013-02-06,06:53:20,-10.644,164.953,Earthquake,10.5,4.3,357.0,5.9,MWC,,,29.4,,,0.94,USC000F246,US,US,GCMT,Reviewed
2013-02-06,10:20:34,-10.853,165.268,Earthquake,10.0,,264.0,5.9,MWB,,,33.7,,,0.76,USC000F299,US,US,US,Reviewed
2013-02-06,10:33:17,-10.642,164.765,Earthquake,10.0,,274.0,6.0,MWB,,,29.4,,,0.98,USC000F29G,US,US,US,Reviewed
2013-02-06,11:03:46,-10.717,165.182,Earthquake,10.0,,313.0,5.8,MWC,,,25.8,,,0.83,USC000F2A4,US,US,GCMT,Reviewed
2013-02-06,11:53:55,-11.243,165.728,Earthquake,14.0,,302.0,6.0,MWW,,,26.3,,,0.81,USC000F2AP,US,US,US,Reviewed
2013-02-06,12:44:30,-11.587,165.533,Earthquake,10.0,,289.0,5.9,MWC,,,25.5,,,0.7,USC000F2BN,US,US,GCMT,Reviewed
2013-02-06,13:50:33,-10.639,166.462,Earthquake,10.0,,136.0,5.6,MS,,217.0,62.2,,,0.96,USC000F2DB,US,US,US,Reviewed
2013-02-06,13:54:54,-10.808,166.526,Earthquake,13.7,3.4,351.0,5.8,MWB,,,45.2,,,0.73,USC000F2D8,US,US,US,Reviewed
2013-02-06,22:20:20,-11.099,165.632,Earthquake,24.5,12.3,222.0,5.6,MWC,,,33.3,,,0.87,USC000F2PU,US,US,GCMT,Reviewed
2013-02-07,00:30:11,-11.658,164.94,Earthquake,8.0,,343.0,6.0,MWW,,,24.2,,,0.77,USC000F2UL,US,US,US,Reviewed
